identifier,stable_id,content_kind,main_menu_policy,periodic_atomic_numbers,standalone_menu
RESERVED_PT_196,196,hidden_internal,hidden,,
RESERVED_PT_197,197,hidden_internal,hidden,,
RESERVED_PT_198,198,hidden_internal,hidden,,
RESERVED_PT_199,199,hidden_internal,hidden,,
RESERVED_PT_200,200,hidden_internal,hidden,,
RESERVED_PT_201,201,hidden_internal,hidden,,
RESERVED_PT_202,202,hidden_internal,hidden,,
RESERVED_PT_203,203,hidden_internal,hidden,,
RESERVED_PT_204,204,hidden_internal,hidden,,
RESERVED_PT_205,205,hidden_internal,hidden,,
RESERVED_PT_206,206,hidden_internal,hidden,,
RESERVED_PT_207,207,hidden_internal,hidden,,
RESERVED_PT_208,208,hidden_internal,hidden,,
RESERVED_PT_209,209,hidden_internal,hidden,,
RESERVED_PT_210,210,hidden_internal,hidden,,
RESERVED_PT_211,211,hidden_internal,hidden,,
RESERVED_PT_212,212,hidden_internal,hidden,,
RESERVED_PT_213,213,hidden_internal,hidden,,
RESERVED_PT_214,214,hidden_internal,hidden,,
RESERVED_PT_215,215,hidden_internal,hidden,,
RESERVED_PT_216,216,hidden_internal,hidden,,
RESERVED_PT_217,217,hidden_internal,hidden,,
RESERVED_PT_218,218,hidden_internal,hidden,,
RESERVED_PT_219,219,hidden_internal,hidden,,
RESERVED_PT_220,220,hidden_internal,hidden,,
RESERVED_PT_221,221,hidden_internal,hidden,,
RESERVED_PT_222,222,hidden_internal,hidden,,
RESERVED_PT_223,223,hidden_internal,hidden,,
RESERVED_PT_224,224,hidden_internal,hidden,,
RESERVED_PT_225,225,hidden_internal,hidden,,
RESERVED_PT_226,226,hidden_internal,hidden,,
RESERVED_PT_227,227,hidden_internal,hidden,,
RESERVED_PT_228,228,hidden_internal,hidden,,
RESERVED_PT_229,229,hidden_internal,hidden,,
RESERVED_PT_230,230,hidden_internal,hidden,,
RESERVED_PT_231,231,hidden_internal,hidden,,
RESERVED_PT_232,232,hidden_internal,hidden,,
RESERVED_PT_233,233,hidden_internal,hidden,,
RESERVED_PT_234,234,hidden_internal,hidden,,
RESERVED_PT_235,235,hidden_internal,hidden,,
RESERVED_PT_236,236,hidden_internal,hidden,,
RESERVED_PT_237,237,hidden_internal,hidden,,
RESERVED_PT_238,238,hidden_internal,hidden,,
RESERVED_PT_239,239,hidden_internal,hidden,,
RESERVED_PT_240,240,hidden_internal,hidden,,
RESERVED_PT_241,241,hidden_internal,hidden,,
RESERVED_PT_242,242,hidden_internal,hidden,,
RESERVED_PT_243,243,hidden_internal,hidden,,
RESERVED_PT_244,244,hidden_internal,hidden,,
RESERVED_PT_245,245,hidden_internal,hidden,,
RESERVED_PT_246,246,hidden_internal,hidden,,
RESERVED_PT_247,247,hidden_internal,hidden,,
RESERVED_PT_248,248,hidden_internal,hidden,,
RESERVED_PT_249,249,hidden_internal,hidden,,
RESERVED_PT_250,250,hidden_internal,hidden,,
RESERVED_PT_251,251,hidden_internal,hidden,,
RESERVED_PT_252,252,hidden_internal,hidden,,
RESERVED_PT_253,253,hidden_internal,hidden,,
RESERVED_PT_254,254,hidden_internal,hidden,,
RESERVED_PT_255,255,hidden_internal,hidden,,
OMNI_PT_ALUM,256,periodic_element,periodic_only,13,periodic_table
OMNI_PT_COPR,257,periodic_element,periodic_only,29,periodic_table
OMNI_PT_LEAD,258,periodic_element,periodic_only,82,periodic_table
OMNI_PT_TIN,259,periodic_element,periodic_only,50,periodic_table
OMNI_PT_NICL,260,periodic_element,periodic_only,28,periodic_table
OMNI_PT_MAGN,261,periodic_element,periodic_only,12,periodic_table
OMNI_PT_CHRM,262,periodic_element,periodic_only,24,periodic_table
OMNI_PT_COBT,263,periodic_element,periodic_only,27,periodic_table
OMNI_PT_MOLY,264,periodic_element,periodic_only,42,periodic_table
OMNI_PT_ZINC,265,periodic_element,periodic_only,30,periodic_table
OMNI_PT_CHRC,266,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_COKE,267,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_STEL,268,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_BRNZ,269,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_BRAS,270,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_SSIL,271,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_NCRM,272,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_ALMG,273,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_TSTL,274,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_SLAG,275,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_FLUX,276,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_CRUC,277,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_MSCR,278,compatibility_alias,hidden,,
RESERVED_PT_279,279,hidden_internal,hidden,,
RESERVED_PT_280,280,hidden_internal,hidden,,
RESERVED_PT_281,281,hidden_internal,hidden,,
RESERVED_PT_282,282,hidden_internal,hidden,,
RESERVED_PT_283,283,hidden_internal,hidden,,
RESERVED_PT_284,284,hidden_internal,hidden,,
RESERVED_PT_285,285,hidden_internal,hidden,,
RESERVED_PT_286,286,hidden_internal,hidden,,
RESERVED_PT_287,287,hidden_internal,hidden,,
OMNI_PT_NUTR,288,ecology_material,preserve_existing,,SC_POWDERS
OMNI_PT_ALGA,289,ecology_material,preserve_existing,,SC_LIQUID
OMNI_PT_MYCL,290,ecology_material,preserve_existing,,SC_SOLIDS
OMNI_PT_SPOR,291,ecology_material,preserve_existing,,SC_POWDERS
OMNI_PT_PATH,292,ecology_material,preserve_existing,,SC_LIQUID
OMNI_PT_STER,293,ecology_material,preserve_existing,,SC_POWDERS
OMNI_PT_HUMS,294,ecology_material,preserve_existing,,SC_POWDERS
OMNI_PT_BIOF,295,ecology_material,preserve_existing,,SC_SOLIDS
RESERVED_PT_296,296,hidden_internal,hidden,,
RESERVED_PT_297,297,hidden_internal,hidden,,
RESERVED_PT_298,298,hidden_internal,hidden,,
RESERVED_PT_299,299,hidden_internal,hidden,,
RESERVED_PT_300,300,hidden_internal,hidden,,
RESERVED_PT_301,301,hidden_internal,hidden,,
RESERVED_PT_302,302,hidden_internal,hidden,,
RESERVED_PT_303,303,hidden_internal,hidden,,
RESERVED_PT_304,304,hidden_internal,hidden,,
RESERVED_PT_305,305,hidden_internal,hidden,,
RESERVED_PT_306,306,hidden_internal,hidden,,
RESERVED_PT_307,307,hidden_internal,hidden,,
RESERVED_PT_308,308,hidden_internal,hidden,,
RESERVED_PT_309,309,hidden_internal,hidden,,
RESERVED_PT_310,310,hidden_internal,hidden,,
RESERVED_PT_311,311,hidden_internal,hidden,,
RESERVED_PT_312,312,hidden_internal,hidden,,
RESERVED_PT_313,313,hidden_internal,hidden,,
RESERVED_PT_314,314,hidden_internal,hidden,,
RESERVED_PT_315,315,hidden_internal,hidden,,
RESERVED_PT_316,316,hidden_internal,hidden,,
RESERVED_PT_317,317,hidden_internal,hidden,,
RESERVED_PT_318,318,hidden_internal,hidden,,
RESERVED_PT_319,319,hidden_internal,hidden,,
RESERVED_PT_320,320,hidden_internal,hidden,,
RESERVED_PT_321,321,hidden_internal,hidden,,
RESERVED_PT_322,322,hidden_internal,hidden,,
RESERVED_PT_323,323,hidden_internal,hidden,,
RESERVED_PT_324,324,hidden_internal,hidden,,
RESERVED_PT_325,325,hidden_internal,hidden,,
RESERVED_PT_326,326,hidden_internal,hidden,,
RESERVED_PT_327,327,hidden_internal,hidden,,
OMNI_PT_NFUL,328,nuclear_device,existing_dedicated_menu,,SC_NUCLEAR
OMNI_PT_MODR,329,nuclear_device,existing_dedicated_menu,,SC_NUCLEAR
OMNI_PT_CROD,330,nuclear_device,existing_dedicated_menu,,SC_NUCLEAR
OMNI_PT_NCLT,331,nuclear_device,existing_dedicated_menu,,SC_NUCLEAR
OMNI_PT_NWST,332,nuclear_device,existing_dedicated_menu,,SC_NUCLEAR
OMNI_PT_NGEN,333,nuclear_device,existing_dedicated_menu,,SC_NUCLEAR
OMNI_PT_RSHD,334,nuclear_device,existing_dedicated_menu,,SC_NUCLEAR
RESERVED_PT_335,335,hidden_internal,hidden,,
RESERVED_PT_336,336,hidden_internal,hidden,,
RESERVED_PT_337,337,hidden_internal,hidden,,
RESERVED_PT_338,338,hidden_internal,hidden,,
RESERVED_PT_339,339,hidden_internal,hidden,,
RESERVED_PT_340,340,hidden_internal,hidden,,
RESERVED_PT_341,341,hidden_internal,hidden,,
RESERVED_PT_342,342,hidden_internal,hidden,,
RESERVED_PT_343,343,hidden_internal,hidden,,
RESERVED_PT_344,344,hidden_internal,hidden,,
RESERVED_PT_345,345,hidden_internal,hidden,,
RESERVED_PT_346,346,hidden_internal,hidden,,
RESERVED_PT_347,347,hidden_internal,hidden,,
RESERVED_PT_348,348,hidden_internal,hidden,,
RESERVED_PT_349,349,hidden_internal,hidden,,
RESERVED_PT_350,350,hidden_internal,hidden,,
RESERVED_PT_351,351,hidden_internal,hidden,,
RESERVED_PT_352,352,hidden_internal,hidden,,
RESERVED_PT_353,353,hidden_internal,hidden,,
