stable_id,identifier,display_code,english_name,chinese_name,record_status,canonical_identifier,source_class,material_category,source_menu,source_menu_visible,main_menu_policy,current_rc9_entry,target_entry,periodic_atomic_numbers,periodic_symbols,periodic_relation_groups,duplicate_concept,module,module_disable_behavior,save_compatibility,description_coverage,source_mod,source_commit,source_file,license,relation_provenance,confidence,notes
0,DEFAULT_PT_NONE,NONE,Eraser,擦除工具,canonical,DEFAULT_PT_NONE,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NONE.cpp,GPL-3.0-only,,high,
1,DEFAULT_PT_DUST,DUST,Dust,尘埃,canonical,DEFAULT_PT_DUST,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/DUST.cpp,GPL-3.0-only,,high,
2,DEFAULT_PT_WATR,WATR,Water,水,canonical,DEFAULT_PT_WATR,official_original,other,SC_LIQUID,true,official_default,main_menu:SC_LIQUID+periodic_table,main_menu:SC_LIQUID+periodic_table,1|8,H|O,other,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/WATR.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
3,DEFAULT_PT_OIL,OIL,Oil,石油,canonical,DEFAULT_PT_OIL,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/OIL.cpp,GPL-3.0-only,,high,
4,DEFAULT_PT_FIRE,FIRE,Fire,火焰,canonical,DEFAULT_PT_FIRE,official_original,official_sandbox_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE,main_menu:SC_EXPLOSIVE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/FIRE.cpp,GPL-3.0-only,,high,
5,DEFAULT_PT_STNE,STNE,Stone,石粉,canonical,DEFAULT_PT_STNE,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/STNE.cpp,GPL-3.0-only,,high,
6,DEFAULT_PT_LAVA,LAVA,Lava,熔岩,canonical,DEFAULT_PT_LAVA,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/LAVA.cpp,GPL-3.0-only,,high,
7,DEFAULT_PT_GUNP,GUN,Gunpowder,黑火药,canonical,DEFAULT_PT_GUNP,official_original,official_sandbox_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE,main_menu:SC_EXPLOSIVE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GUNP.cpp,GPL-3.0-only,,high,
8,DEFAULT_PT_NITR,NITR,Nitroglycerin,硝化甘油,canonical,DEFAULT_PT_NITR,official_original,official_sandbox_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE,main_menu:SC_EXPLOSIVE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NITR.cpp,GPL-3.0-only,,high,
9,DEFAULT_PT_CLNE,CLNE,Clone,复制体,canonical,DEFAULT_PT_CLNE,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/CLNE.cpp,GPL-3.0-only,,high,
