source_mod,source_commit,source_file,source_identifier,source_id,source_name,source_code,category,state,color,properties_summary,update_function,graphics_function,dependencies,reaction_count,reaction_targets,global_scan,particle_creation,particle_deletion,performance_risk,save_risk,license_status,port_decision
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/Element.cpp,ALCHEMY_PT_ELEMENT,,ELEMENT,ELEMENT,,unknown,,,,,PT_DESL;PT_DSTW;PT_FIRE;PT_GAS;PT_ICEI;PT_LAVA;PT_OIL;PT_SALT;PT_SLTW;PT_SNOW;PT_WATR;PT_WTRV,29,PT_DESL;PT_DSTW;PT_FIRE;PT_GAS;PT_ICEI;PT_LAVA;PT_OIL;PT_SALT;PT_SLTW;PT_SNOW;PT_WATR;PT_WTRV,false,0,0,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/116.cpp,DEFAULT_PT_116,,EQVE,116,SC_CRACKER2,powder,PIXPACK(0xFFE0A0),TYPE_PART,,,,0,,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/146.cpp,DEFAULT_PT_146,,BRAN,146,SC_LIFE,solid,PIXPACK(0xCCCC00),TYPE_SOLID|PROP_LIFE,,,,0,,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/ACEL.cpp,DEFAULT_PT_ACEL,,ACEL,ACEL,SC_FORCE,solid,PIXPACK(0x0099CC),TYPE_SOLID,ACEL::update,ACEL::graphics,,0,,false,0,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/ACID.cpp,DEFAULT_PT_ACID,,ACID,ACID,SC_LIQUID,liquid,PIXPACK(0xED55FF),TYPE_LIQUID|PROP_DEADLY,ACID::update,ACID::graphics,PT_BTRY;PT_CAUS;PT_CLNE;PT_ETRD;PT_FIRE;PT_GLAS;PT_GUNP;PT_LRBD;PT_NITR;PT_PCLN;PT_PLEX;PT_RBDM;PT_SOAP;PT_WTRV,22,PT_BTRY;PT_CAUS;PT_CLNE;PT_ETRD;PT_FIRE;PT_GLAS;PT_GUNP;PT_LRBD;PT_NITR;PT_PCLN;PT_PLEX;PT_RBDM;PT_SOAP;PT_WTRV,false,1,4,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/AMTR.cpp,DEFAULT_PT_AMTR,,AMTR,AMTR,SC_NUCLEAR,gas,PIXPACK(0x808080),TYPE_GAS,AMTR::update,AMTR::graphics,PT_BHOL;PT_CLNE;PT_DMND;PT_NBHL;PT_PCLN;PT_PHOT;PT_PRTI;PT_PRTO;PT_VOID,12,PT_BHOL;PT_CLNE;PT_DMND;PT_NBHL;PT_PCLN;PT_PHOT;PT_PRTI;PT_PRTO;PT_VOID,false,1,2,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/ANAR.cpp,DEFAULT_PT_ANAR,,ANAR,ANAR,SC_POWDERS,powder,PIXPACK(0xFFFFEE),TYPE_PART,ANAR::update,,PT_CFLM,2,PT_CFLM,false,0,0,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/ARAY.cpp,DEFAULT_PT_ARAY,,ARAY,ARAY,SC_ELEC,solid,PIXPACK(0xFFBB00),TYPE_SOLID|PROP_LIFE_DEC,ARAY::update,,PT_BRAY;PT_CRAY;PT_ETRD;PT_FILT;PT_INST;PT_INWR;PT_NUM;PT_PSCN;PT_SPRK;PT_STOR;PT_SWCH;PT_WIFI,16,PT_BRAY;PT_CRAY;PT_ETRD;PT_FILT;PT_INST;PT_INWR;PT_NUM;PT_PSCN;PT_SPRK;PT_STOR;PT_SWCH;PT_WIFI,false,3,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BANG.cpp,DEFAULT_PT_BANG,,TNT,BANG,SC_EXPLOSIVE,solid,PIXPACK(0xC05050),TYPE_SOLID | PROP_NEUTPENETRATE,BANG::update,,PT_C5;PT_EMBR;PT_FIRE;PT_LIGH;PT_LNTG;PT_PLSM;PT_SMKE;PT_SPRK,14,PT_C5;PT_EMBR;PT_FIRE;PT_LIGH;PT_LNTG;PT_PLSM;PT_SMKE;PT_SPRK,false,4,2,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BCLN.cpp,DEFAULT_PT_BCLN,,BCLN,BCLN,SC_SPECIAL,solid,PIXPACK(0xFFD040),TYPE_SOLID|PROP_LIFE_DEC|PROP_LIFE_KILL_DEC|PROP_DRAWONCTYPE|PROP_NOCTYPEDRAW,BCLN::update,,PT_CLNE;PT_ETRD;PT_LAVA;PT_LIFE;PT_LIGH;PT_NUM;PT_PBCN;PT_PCLN;PT_STKM;PT_STKM2,12,PT_CLNE;PT_ETRD;PT_LAVA;PT_LIFE;PT_LIGH;PT_NUM;PT_PBCN;PT_PCLN;PT_STKM;PT_STKM2,false,2,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BCOL.cpp,DEFAULT_PT_BCOL,,BCOL,BCOL,SC_POWDERS,powder,PIXPACK(0x333333),TYPE_PART,Element_COAL::update,Element_COAL::graphics,PT_DMND,1,PT_DMND,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BGLA.cpp,DEFAULT_PT_BGLA,,BGLA,BGLA,SC_POWDERS,powder,PIXPACK(0x606060),TYPE_PART | PROP_HOT_GLOW,,,PT_LAVA,1,PT_LAVA,false,0,0,low,low,verified,B_rewrite_port
