source_mod,source_commit,feature_type,source_files,description,core_area,performance_risk,save_risk,license_status,port_decision,notes
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,core_modification,149,149 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,core_modification,62,62 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,core_modification,33,33 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
biological_mod,284a1585db023f62a7147892526899133dd6f41c,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
biological_mod,284a1585db023f62a7147892526899133dd6f41c,core_modification,17,17 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
biological_mod,284a1585db023f62a7147892526899133dd6f41c,core_modification,153,153 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
biological_mod,284a1585db023f62a7147892526899133dd6f41c,core_modification,37,37 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
biological_mod,284a1585db023f62a7147892526899133dd6f41c,core_modification,44,44 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
bmn_mod,419f9cff53f2dfe55ce785c7697961cda859793e,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
bmn_mod,419f9cff53f2dfe55ce785c7697961cda859793e,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
bmn_mod,419f9cff53f2dfe55ce785c7697961cda859793e,core_modification,146,146 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
bmn_mod,419f9cff53f2dfe55ce785c7697961cda859793e,core_modification,62,62 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
bmn_mod,419f9cff53f2dfe55ce785c7697961cda859793e,core_modification,32,32 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
chemistry_mod,b38a2040ac0a31bd2a9f478b7aa8a31d90132e88,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
chemistry_mod,b38a2040ac0a31bd2a9f478b7aa8a31d90132e88,core_modification,17,17 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
chemistry_mod,b38a2040ac0a31bd2a9f478b7aa8a31d90132e88,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
chemistry_mod,b38a2040ac0a31bd2a9f478b7aa8a31d90132e88,core_modification,152,152 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
chemistry_mod,b38a2040ac0a31bd2a9f478b7aa8a31d90132e88,core_modification,67,67 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
chemistry_mod,b38a2040ac0a31bd2a9f478b7aa8a31d90132e88,core_modification,43,43 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cracker1000,ebbb9aab6aef27d26517682cebbc0a07147a843a,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
cracker1000,ebbb9aab6aef27d26517682cebbc0a07147a843a,core_modification,15,15 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cracker1000,ebbb9aab6aef27d26517682cebbc0a07147a843a,core_modification,155,155 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cracker1000,ebbb9aab6aef27d26517682cebbc0a07147a843a,core_modification,38,38 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cracker1000,ebbb9aab6aef27d26517682cebbc0a07147a843a,core_modification,50,50 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cyens,f01d992c97432ec1c46d84ade05131da521f355a,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
cyens,f01d992c97432ec1c46d84ade05131da521f355a,core_modification,17,17 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cyens,f01d992c97432ec1c46d84ade05131da521f355a,core_modification,154,154 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cyens,f01d992c97432ec1c46d84ade05131da521f355a,core_modification,37,37 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cyens,f01d992c97432ec1c46d84ade05131da521f355a,core_modification,54,54 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cyens_src,1b74504e4642cd967c0079499b57faa7f37d9668,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
cyens_src,1b74504e4642cd967c0079499b57faa7f37d9668,core_modification,17,17 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cyens_src,1b74504e4642cd967c0079499b57faa7f37d9668,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
cyens_src,1b74504e4642cd967c0079499b57faa7f37d9668,core_modification,154,154 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cyens_src,1b74504e4642cd967c0079499b57faa7f37d9668,core_modification,67,67 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
cyens_src,1b74504e4642cd967c0079499b57faa7f37d9668,core_modification,45,45 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
dtttpt,798b958d6bab4e6460a905788fc999ac0f3bf3cf,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
dtttpt,798b958d6bab4e6460a905788fc999ac0f3bf3cf,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
dtttpt,798b958d6bab4e6460a905788fc999ac0f3bf3cf,core_modification,145,145 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
dtttpt,798b958d6bab4e6460a905788fc999ac0f3bf3cf,core_modification,62,62 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
dtttpt,798b958d6bab4e6460a905788fc999ac0f3bf3cf,core_modification,32,32 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
jacob1,b492616124d2346a5ec7bc70fa881fb73345396b,core_modification,2,2 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
