mod_id,mod_name,author,forum_url,repository_url,download_url,source_type,license,license_verified,base_tpt_version,default_branch,source_commit,last_commit_date,archived,buildable,element_count_claimed,element_count_detected,lua_script_count,core_files_modified,save_format_modified,network_code_modified,ui_modified,known_bugs,source_complete,binary_only,port_priority,audit_status,notes
dragonrster,dragonrster,Dragonrster,,https://github.com/Dragonrster/The-Powder-Toy-Chinese,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,0,not_cloned,translation baseline not a content source
official,The-Powder-Toy,The-Powder-Toy,,https://github.com/The-Powder-Toy/The-Powder-Toy.git,,mixed_source,GPL-3.0,true,1.0.8-elusive,master,a5b12b71937b74e40e2e2ce4f563c8154722d773,2026-07-30T23:28:33+07:00,not_tested,not_tested,not_tested,207,1,not_tested,not_tested,not_tested,not_tested,not_reviewed,not_tested,false,0,scanned,official comparison baseline
biological_mod,TPT-Biological-Mod,sam-astro,,https://github.com/sam-astro/TPT-Biological-Mod.git,,mixed_source,GPL-3.0,true,the.cake.is.a.lie,main,284a1585db023f62a7147892526899133dd6f41c,2021-06-24T12:12:08-04:00,not_tested,not_tested,not_tested,225,1,261,true,true,true,not_reviewed,not_tested,false,1,scanned,biological elements
chem_mod_lua,chem_mod_lua,Kev_AK,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=21831,,https://pastebin.com/raw/4e6Seg7C,lua_source,unknown,false,unknown,not_applicable,sha256:C7A6A96E51141C514F2FF6DBDA11CCB0F8BBD86A399DB67C472938A374C2D243,2023-11-12,not_applicable,false,not_tested,48,1,0,false,false,not_tested,not_reviewed,true,false,1,downloaded_source,40+ chemistry script; license unknown and existing elements are overridden
chemistry_mod,The-Chemistry-Mod,Thenukeluis,,https://github.com/Thenukeluis/The-Chemistry-Mod.git,,mixed_source,GPL-3.0,true,95,master,b38a2040ac0a31bd2a9f478b7aa8a31d90132e88,2020-08-10T04:02:22+02:00,not_tested,not_tested,not_tested,197,2,290,true,true,true,not_reviewed,not_tested,false,1,scanned,periodic elements and compounds candidate
cracker1000,The-Powder-Toy,cracker1000,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=23279,https://github.com/cracker1000/The-Powder-Toy.git,,mixed_source,GPL-3.0,true,the.cake.is.a.lie,master,ebbb9aab6aef27d26517682cebbc0a07147a843a,2023-09-27T21:31:36+05:30,not_tested,not_tested,not_tested,256,5,268,true,true,true,not_reviewed,not_tested,false,1,scanned,50+ element mod
cyens_src,cyens-toy-src,cbeimers113,,https://github.com/cbeimers113/cyens-toy-src.git,,mixed_source,GPL-3.0,true,4,master,1b74504e4642cd967c0079499b57faa7f37d9668,2020-09-18T18:56:32-08:00,not_tested,not_tested,not_tested,236,1,294,true,true,true,not_reviewed,not_tested,false,1,scanned,newer science overhaul source
fun_chemicals,fun-n-kemiko,ShadyShadyAsh,,https://github.com/ShadyShadyAsh/fun-n-kemiko.git,,lua_source,unknown,false,unknown,main,78853eb4a7bc999d35963dad7080b4b374d44e18,2024-07-01T16:30:45+07:00,not_tested,false,not_tested,25,1,0,false,false,false,not_reviewed,not_tested,false,1,scanned,chemistry Lua candidate
periodic_mod,tpt-elementmod,mechai12b,,https://github.com/mechai12b/tpt-elementmod.git,,unavailable,unknown,false,unknown,main,,,not_tested,false,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,1,empty_repository,periodic table inspired candidate
spikeviper,The-Powder-Toy,SpikeViper,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=26571,https://github.com/SpikeViper/The-Powder-Toy.git,,mixed_source,GPL-3.0,true,the.cake.is.a.lie,master,134ebf330eda42b4b300a2b7613ede71261697df,2023-11-26T20:38:00-06:00,not_tested,not_tested,not_tested,232,1,270,true,true,true,not_reviewed,not_tested,false,1,scanned,biology mod
cyens,cyens-toy,cbeimers113,,https://github.com/cbeimers113/cyens-toy.git,,mixed_source,GPL-3.0,true,the.cake.is.a.lie,master,f01d992c97432ec1c46d84ade05131da521f355a,2022-07-21T14:22:31-04:00,not_tested,not_tested,not_tested,204,1,272,true,true,true,not_reviewed,not_tested,false,2,scanned,old science overhaul
fanmod,FanMod,Rebmiami,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=26165,https://github.com/Rebmiami/FanMod.git,,lua_source,unknown,false,unknown,master,b11eeb934773583618d9f8c220c9b06a79ca0952,2024-12-23T17:34:11-05:00,not_tested,false,not_tested,34,1,0,false,false,false,not_reviewed,not_tested,false,2,scanned,community element script including tritium and bounded UI concepts
jacob1,The-Powder-Toy,jacob1,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=11117,https://github.com/jacob1/The-Powder-Toy.git,,mixed_source,GPL-3.0,true,unknown,c++,b492616124d2346a5ec7bc70fa881fb73345396b,2026-06-29T18:03:41-04:00,not_tested,not_tested,not_tested,205,4,93,false,true,true,not_reviewed,not_tested,false,2,scanned,long-running UI and element mod
