tool_identifier,content_kind,primary_atomic_number,related_atomic_numbers,compound_group,display_order,periodic_visible,formula,zh_name,en_name
DEFAULT_PT_H2,periodic_element,1,1,element,0,true,H,氢,Hydrogen
OMNI_PT_HE,periodic_element,2,2,element,0,true,He,氦,Helium
DEFAULT_PT_LITH,periodic_element,3,3,element,0,true,Li,锂,Lithium
OMNI_PT_BE,periodic_element,4,4,element,0,true,Be,铍,Beryllium
OMNI_PT_B,periodic_element,5,5,element,0,true,B,硼,Boron
DEFAULT_PT_DMND,periodic_element,6,6,element,0,true,C,碳,Carbon
OMNI_PT_N,periodic_element,7,7,element,0,true,N,氮,Nitrogen
DEFAULT_PT_O2,periodic_element,8,8,element,0,true,O,氧,Oxygen
OMNI_PT_F,periodic_element,9,9,element,0,true,F,氟,Fluorine
OMNI_PT_NE,periodic_element,10,10,element,0,true,Ne,氖,Neon
OMNI_PT_NA,periodic_element,11,11,element,0,true,Na,钠,Sodium
OMNI_PT_MAGN,periodic_element,12,12,element,0,true,Mg,镁,Magnesium
OMNI_PT_ALUM,periodic_element,13,13,element,0,true,Al,铝,Aluminium
DEFAULT_PT_SLCN,periodic_element,14,14,element,0,true,Si,硅,Silicon
OMNI_PT_P,periodic_element,15,15,element,0,true,P,磷,Phosphorus
OMNI_PT_S,periodic_element,16,16,element,0,true,S,硫,Sulfur
OMNI_PT_CHLR,periodic_element,17,17,element,0,true,Cl,氯,Chlorine
OMNI_PT_AR,periodic_element,18,18,element,0,true,Ar,氩,Argon
OMNI_PT_K,periodic_element,19,19,element,0,true,K,钾,Potassium
OMNI_PT_CA,periodic_element,20,20,element,0,true,Ca,钙,Calcium
OMNI_PT_SC,periodic_element,21,21,element,0,true,Sc,钪,Scandium
DEFAULT_PT_TTAN,periodic_element,22,22,element,0,true,Ti,钛,Titanium
OMNI_PT_V,periodic_element,23,23,element,0,true,V,钒,Vanadium
OMNI_PT_CHRM,periodic_element,24,24,element,0,true,Cr,铬,Chromium
OMNI_PT_MN,periodic_element,25,25,element,0,true,Mn,锰,Manganese
DEFAULT_PT_IRON,periodic_element,26,26,element,0,true,Fe,铁,Iron
OMNI_PT_COBT,periodic_element,27,27,element,0,true,Co,钴,Cobalt
OMNI_PT_NICL,periodic_element,28,28,element,0,true,Ni,镍,Nickel
OMNI_PT_COPR,periodic_element,29,29,element,0,true,Cu,铜,Copper
OMNI_PT_ZINC,periodic_element,30,30,element,0,true,Zn,锌,Zinc
