atomic_number,symbol,zh_name,en_name,official_mapping,omnipack_mapping,candidate_mods,selected_source,selected_source_commit,implementation_type,stable_id,status,tests
1,H,氢,Hydrogen,DEFAULT_PT_H2,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,148,implemented,source-verified
2,He,氦,Helium,,OMNI_PT_HE,tpt_remade,TPT-ZH-OmniPack/original,21b160a5bd25df266c6f82528eb12f3103b39b03,family_generated,370,implemented,runtime-tested
3,Li,锂,Lithium,DEFAULT_PT_LITH,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,191,implemented,source-verified
4,Be,铍,Beryllium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,371,planned,not_tested
5,B,硼,Boron,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,372,planned,not_tested
6,C,碳,Carbon,DEFAULT_PT_DMND,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,28,implemented,source-verified
7,N,氮,Nitrogen,,,biological_mod,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,373,planned,not_tested
8,O,氧,Oxygen,DEFAULT_PT_O2,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,61,implemented,source-verified
9,F,氟,Fluorine,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,374,planned,not_tested
10,Ne,氖,Neon,,OMNI_PT_NE,cyens_src;fun_chemicals;ultimata,TPT-ZH-OmniPack/original,21b160a5bd25df266c6f82528eb12f3103b39b03,family_generated,375,implemented,runtime-tested
11,Na,钠,Sodium,,,fun_chemicals,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,376,planned,not_tested
12,Mg,镁,Magnesium,,OMNI_PT_MAGN,,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,reuse_omnipack,261,implemented,runtime-tested
13,Al,铝,Aluminium,,OMNI_PT_ALUM,chem_mod_lua,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,reuse_omnipack,256,implemented,runtime-tested
14,Si,硅,Silicon,DEFAULT_PT_SLCN,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,187,implemented,source-verified
15,P,磷,Phosphorus,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,377,planned,not_tested
16,S,硫,Sulfur,,,chem_mod_lua,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,378,planned,not_tested
17,Cl,氯,Chlorine,,OMNI_PT_CHLR,chem_mod_lua;fun_chemicals,cracker1000/The-Powder-Toy,ebbb9aab6aef27d26517682cebbc0a07147a843a,reuse_omnipack,360,implemented,unit-tested
18,Ar,氩,Argon,,OMNI_PT_AR,,TPT-ZH-OmniPack/original,21b160a5bd25df266c6f82528eb12f3103b39b03,family_generated,379,implemented,runtime-tested
19,K,钾,Potassium,,,fun_chemicals,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,380,planned,not_tested
20,Ca,钙,Calcium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,381,planned,not_tested
21,Sc,钪,Scandium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,382,planned,not_tested
22,Ti,钛,Titanium,DEFAULT_PT_TTAN,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,144,implemented,source-verified
23,V,钒,Vanadium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,383,planned,not_tested
24,Cr,铬,Chromium,,OMNI_PT_CHRM,,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,reuse_omnipack,262,implemented,runtime-tested
25,Mn,锰,Manganese,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,384,planned,not_tested
26,Fe,铁,Iron,DEFAULT_PT_IRON,,alchemy;biological_mod;bmn_mod;chemistry_mod;cracker1000;cyens;cyens_src;dtttpt;jacob1;magnet_toy;metacircuits;norbs_mod;nucular_mod;powder_better;record_mod;science_toy;seppo;spikeviper;ultimata;unproductive,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,76,implemented,source-verified
27,Co,钴,Cobalt,,OMNI_PT_COBT,chem_mod_lua;cyens_src,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,reuse_omnipack,263,implemented,runtime-tested
