component,category,registry_source_mod,source_url,version_or_commit,usage,license,license_file,license_sha256,included_in_binary,notice_in_package,package_path,audit_status
tpt-upstream,upstream_code,The-Powder-Toy/The-Powder-Toy,https://github.com/The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,base source code UI icons and upstream bitmap font,GPL-3.0-only,LICENSE,0B383D5A63DA644F628D99C33976EA6487ED89AAA59F0B3257992DEAC1171E6B,true,true,LICENSE,verified
mod-cracker1000,mod_source,cracker1000/The-Powder-Toy,https://github.com/cracker1000/The-Powder-Toy,ebbb9aab6aef27d26517682cebbc0a07147a843a;eb474d385ffb5ebd545cf9f5f3cf513ffba9fe35,COPR parameter and behavior adaptation plus CHLR and ACTY concept references,GPL-3.0-only,LICENSE,0B383D5A63DA644F628D99C33976EA6487ED89AAA59F0B3257992DEAC1171E6B,false,true,LICENSE,verified
mod-seppo,mod_source,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,https://github.com/SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,public metallurgy token and behavior concepts with missing constructors independently implemented,GPL-3.0-only,LICENSE,0B383D5A63DA644F628D99C33976EA6487ED89AAA59F0B3257992DEAC1171E6B,false,true,LICENSE,verified
mod-cyens-source,mod_source,cbeimers113/cyens-toy-src,https://github.com/cbeimers113/cyens-toy-src,1b74504e4642cd967c0079499b57faa7f37d9668,ACET and UREA material concepts rewritten under the current reaction framework,GPL-3.0-only,LICENSE,0B383D5A63DA644F628D99C33976EA6487ED89AAA59F0B3257992DEAC1171E6B,false,true,LICENSE,verified
mod-ultimata,mod_source,Bowserinator/TPT-Ultimata-Mod,https://github.com/Bowserinator/TPT-Ultimata-Mod,b74971752433652c033559abea415ec3510ac433,SOIL and BLOD material concepts rewritten under bounded biology logic,GPL-3.0-only,LICENSE,0B383D5A63DA644F628D99C33976EA6487ED89AAA59F0B3257992DEAC1171E6B,false,true,LICENSE,verified
mod-biological-reference,mod_reference,,https://github.com/sam-astro/TPT-Biological-Mod,284a1585db023f62a7147892526899133dd6f41c,Blood concept cross-reference only with no copied update code,GPL-3.0-only,LICENSE,0B383D5A63DA644F628D99C33976EA6487ED89AAA59F0B3257992DEAC1171E6B,false,true,LICENSE,verified
mod-nucular-reference,mod_reference,,https://github.com/nucular/The-Powder-Toy-nuculars-mod,048080a79006c4d6668a1864a0e29758903c64bb,Soil and nuclear gameplay boundary cross-reference only with no copied update code,GPL-3.0-only,LICENSE,0B383D5A63DA644F628D99C33976EA6487ED89AAA59F0B3257992DEAC1171E6B,false,true,LICENSE,verified
font-fusion-main,font,,https://github.com/TakWolf/fusion-pixel-font,c29615e1f629c6bb27dac3e6dcaa4556e629d09f,Fusion Pixel Font Simplified Chinese glyph source,SIL-OFL-1.1,resources/third_party/FUSION_PIXEL_FONT_OFL-1.1.txt,BC518CF64B8032C07690F33CC270C35C179255A6AC8EFA7C165EBAE7E8F76A63,true,true,LICENSES/FUSION-PIXEL-FONT-OFL-1.1.txt,verified
font-fusion-ark,font,,https://github.com/TakWolf/ark-pixel-font,fusion-pixel-font@c29615e1f629c6bb27dac3e6dcaa4556e629d09f,Ark Pixel Font glyphs incorporated by the pinned Fusion Pixel Font snapshot,SIL-OFL-1.1,resources/third_party/FUSION_PIXEL_FONT_ARK_PIXEL_OFL-1.1.txt,3AB41567E68E3988BA1EF16DD2644ECA95CA5648EA12E7D46E6287FC0BBE5AEE,true,true,LICENSES/FUSION-PIXEL-FONT-ARK-PIXEL-OFL-1.1.txt,verified
font-fusion-cubic11,font,,https://github.com/ACh-K/Cubic-11,fusion-pixel-font@c29615e1f629c6bb27dac3e6dcaa4556e629d09f,Cubic 11 glyphs incorporated by the pinned Fusion Pixel Font snapshot,SIL-OFL-1.1,resources/third_party/FUSION_PIXEL_FONT_CUBIC_11_OFL-1.1.txt,2B6E5938E5CFFA0B9E183BD05F8C363E174E7EBED1A0556E2855FD1707FA2188,true,true,LICENSES/FUSION-PIXEL-FONT-CUBIC-11-OFL-1.1.txt,verified
font-fusion-galmuri,font,,https://github.com/quiple/galmuri,fusion-pixel-font@c29615e1f629c6bb27dac3e6dcaa4556e629d09f,Galmuri glyphs incorporated by the pinned Fusion Pixel Font snapshot,SIL-OFL-1.1,resources/third_party/FUSION_PIXEL_FONT_GALMURI_OFL-1.1.txt,86A3EE9495F942F0243F18C103DA9FACA27ADB88142613EDB8BB852E56C892C1,true,true,LICENSES/FUSION-PIXEL-FONT-GALMURI-OFL-1.1.txt,verified
font-unifont,font,,https://ftp.gnu.org/gnu/unifont/unifont-16.0.03.hex.gz,16.0.03,Unicode fallback glyph source,SIL-OFL-1.1 / GPL font embedding exception,resources/third_party/GNU_UNIFONT_COPYING.txt,1E74CB82BF476843E97C2596297B04219B1A7E51F7238944A8C031CB9401FA87,true,true,LICENSES/GNU-UNIFONT-OFL-1.1.txt,verified
lib-bzip2,static_library,,https://sourceware.org/bzip2/,1.0.8,OPS and resource compression,bzip2 license,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/bzip2.LICENSE,C6DBBF828498BE844A89EAA3B84ADBAB3199E342EB5CB2ED2F0D4BA7EC0F38A3,true,true,LICENSES/LIBRARIES/bzip2.LICENSE.txt,verified
