official_commit,tpt_version,stable_id,slot_status,meson_name,identifier,display_code,source_file
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,0,active,NONE,DEFAULT_PT_NONE,NONE,src/simulation/elements/NONE.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,1,active,DUST,DEFAULT_PT_DUST,DUST,src/simulation/elements/DUST.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,2,active,WATR,DEFAULT_PT_WATR,WATR,src/simulation/elements/WATR.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,3,active,OIL,DEFAULT_PT_OIL,OIL,src/simulation/elements/OIL.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,4,active,FIRE,DEFAULT_PT_FIRE,FIRE,src/simulation/elements/FIRE.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,5,active,STNE,DEFAULT_PT_STNE,STNE,src/simulation/elements/STNE.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,6,active,LAVA,DEFAULT_PT_LAVA,LAVA,src/simulation/elements/LAVA.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,7,active,GUNP,DEFAULT_PT_GUNP,GUN,src/simulation/elements/GUNP.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,8,active,NITR,DEFAULT_PT_NITR,NITR,src/simulation/elements/NITR.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,9,active,CLNE,DEFAULT_PT_CLNE,CLNE,src/simulation/elements/CLNE.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,10,active,GAS,DEFAULT_PT_GAS,GAS,src/simulation/elements/GAS.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,11,active,PLEX,DEFAULT_PT_PLEX,C-4,src/simulation/elements/PLEX.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,12,active,GOO,DEFAULT_PT_GOO,GOO,src/simulation/elements/GOO.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,13,active,ICEI,DEFAULT_PT_ICEI,ICE,src/simulation/elements/ICEI.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,14,active,METL,DEFAULT_PT_METL,METL,src/simulation/elements/METL.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,15,active,SPRK,DEFAULT_PT_SPRK,SPRK,src/simulation/elements/SPRK.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,16,active,SNOW,DEFAULT_PT_SNOW,SNOW,src/simulation/elements/SNOW.cpp
bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,100.0.399,17,active,WOOD,DEFAULT_PT_WOOD,WOOD,src/simulation/elements/WOOD.cpp
